,index,fname,roi
0,0,Capture.JPG,"{1: {'xmin': 166, 'ymin': 89, 'xmax': 258, 'ymax': 136, 'region_name': 0}}"
1,1,download (1).jpg,"{1: {'xmin': 116, 'ymin': 93, 'xmax': 146, 'ymax': 111, 'region_name': 0}}"
2,2,download (2).jpg,"{1: {'xmin': 122, 'ymin': 72, 'xmax': 181, 'ymax': 107, 'region_name': 0}}"
3,3,download (3).jpg,"{1: {'xmin': 156, 'ymin': 109, 'xmax': 227, 'ymax': 148, 'region_name': 0}}"
4,4,download.jpg,"{1: {'xmin': 115, 'ymin': 81, 'xmax': 236, 'ymax': 167, 'region_name': 0}}"
5,5,images (1).jpg,"{1: {'xmin': 34, 'ymin': 98, 'xmax': 114, 'ymax': 145, 'region_name': 0}}"
6,6,images (10).jpg,"{1: {'xmin': 115, 'ymin': 85, 'xmax': 157, 'ymax': 108, 'region_name': 0}}"
7,7,images (11).jpg,"{1: {'xmin': 80, 'ymin': 70, 'xmax': 119, 'ymax': 94, 'region_name': 0}}"
8,8,images (12).jpg,"{1: {'xmin': 94, 'ymin': 143, 'xmax': 132, 'ymax': 164, 'region_name': 0}}"
9,9,images (13).jpg,"{1: {'xmin': 106, 'ymin': 55, 'xmax': 170, 'ymax': 88, 'region_name': 0}}"
10,10,images (14).jpg,"{1: {'xmin': 193, 'ymin': 115, 'xmax': 224, 'ymax': 132, 'region_name': 0}}"
11,11,images (15).jpg,"{1: {'xmin': 108, 'ymin': 31, 'xmax': 159, 'ymax': 63, 'region_name': 0}}"
12,12,images (17).jpg,"{1: {'xmin': 97, 'ymin': 107, 'xmax': 138, 'ymax': 135, 'region_name': 0}}"
13,13,images (18).jpg,"{1: {'xmin': 44, 'ymin': 153, 'xmax': 62, 'ymax': 168, 'region_name': 0}}"
14,14,images (19).jpg,"{1: {'xmin': 109, 'ymin': 100, 'xmax': 154, 'ymax': 121, 'region_name': 0}}"
15,15,images (2).jpg,"{1: {'xmin': 86, 'ymin': 84, 'xmax': 163, 'ymax': 126, 'region_name': 0}}"
16,16,images (20).jpg,"{1: {'xmin': 32, 'ymin': 24, 'xmax': 46, 'ymax': 36, 'region_name': 0}, 2: {'xmin': 94, 'ymin': 48, 'xmax': 105, 'ymax': 55, 'region_name': 0}, 3: {'xmin': 159, 'ymin': 34, 'xmax': 177, 'ymax': 45, 'region_name': 0}, 4: {'xmin': 227, 'ymin': 46, 'xmax': 244, 'ymax': 56, 'region_name': 0}, 5: {'xmin': 226, 'ymin': 150, 'xmax': 242, 'ymax': 159, 'region_name': 0}, 6: {'xmin': 172, 'ymin': 140, 'xmax': 186, 'ymax': 149, 'region_name': 0}, 7: {'xmin': 89, 'ymin': 149, 'xmax': 108, 'ymax': 160, 'region_name': 0}, 8: {'xmin': 25, 'ymin': 131, 'xmax': 37, 'ymax': 139, 'region_name': 0}}"
